design,#input,#output,#latch,#and,#level
6s253.aig,702,3911,18,3984,100687
bob9234specmulti.aig,36,8,111,668,20
6s273.aig,983,42,15544,75718,36
6s106.aig,141,17,135,2214,36
bobtuintnegmulti.aig,213,32,212,2051,27
6s291.aig,3,88,839,2555,7
6s104.aig,1760,145,21,84925,1098221
6s165.aig,35,16,65,1436,64
bob12m10m.aig,6,34,198,4384,35
nusmvsyncarb10multi.aig,10,46,20,118,22
6s138.aig,439,16,4008,47702,46
bob12m15m.aig,16,526,448,2145,15
6s321.aig,22,6,13126,66695,41
6s155.aig,201,32,513,13976,165
pdtvsarmultip.aig,17,33,130,2743,33
6s107.aig,284,4,1568,14925,42
6s410.aig,194,387,10456,135239,83
6s399.aig,47,26,98,9783,128
bob12m01m.aig,352,142,6551,74234,63
6s409.aig,205,184,10523,120917,173
6s329.aig,1560,33,31947,169790,37
6s264.aig,669,9580,3164,6360,92378
6s249.aig,314,43,1,1111,42593
6s48m.aig,72,2,66,796,70
bob9234specnegmulti.aig,36,8,111,668,20
6s356.aig,14458,5,4,69115,1559126
6s257.aig,2648,6,1,2413,24924
6s207.aig,150,33,3012,33485,41
6s245.aig,93,8,7,2825,64189
6s395.aig,21,130,1,463,3703
nusmvdme2d3multi.aig,56,3,63,429,8
6s124.aig,199,636,6,6748,89589
6s403.aig,270,2382,5468,108595,97
6s243.aig,181,16,8,491,9832
6s267.aig,145,4,1602,17058,33
6s153.aig,3833,263,255,0,40629
sm98a7multi.aig,81,6,1,89,10008
6s175.aig,11684,3,7415,66693,47
bob12m03m.aig,617,243,5174,32093,86
6s349.aig,254,41,14090,83885,131
6s374.aig,1051,159,26324,299700,150
6s254.aig,107,15,1,762,5569
bob12m06m.aig,79,28,26148,202978,422
6s320.aig,49,2,202,30349,2827
oski1.aig,11445,50,39,2338,133170
